County;2005;2010
Stockholm;3129;4270
Uppsala;2408;2219
Södermanland;2018;3370
Östergötland;2293;3010
Jönköping;1484;2495
Kronoberg;1263;1684
Kalmar;1467;2315
Gotland;1332;1654
Blekinge;1622;1951
Skåne;1961;2652
Halland;1959;2779
Västra Götaland;1550;2077
Värmland;909;1213
Orebro;1212;1974
Västmanland;2006;2543
Dalarna;508;968
Gävleborg;905;1175
Västernorrland;592;938
Jämtland;749;1463
Västerbotten;677;1090
Norrbotten;640;874
